"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sv6pt5-1","Joltik","Pokemon","Basic","40","Grass","1","Common"
"sv6pt5-2","Galvantula","Pokemon","Stage 1","100","Grass","1","Uncommon"
"sv6pt5-3","Rowlet","Pokemon","Basic","70","Grass","1","Common"
"sv6pt5-4","Dartrix","Pokemon","Stage 1","90","Grass","1","Common"
"sv6pt5-5","Decidueye","Pokemon","Stage 2","150","Grass","2","Uncommon"
"sv6pt5-6","Tapu Bulu","Pokemon","Basic","140","Grass","3","Rare"
"sv6pt5-7","Houndour","Pokemon","Basic","70","Fire","1","Common"
"sv6pt5-8","Houndoom","Pokemon","Stage 1","120","Fire","2","Common"
"sv6pt5-9","Iron Moth","Pokemon","Basic, Future","120","Fire","2","Uncommon"
"sv6pt5-10","Horsea","Pokemon","Basic","60","Water","1","Common"
"sv6pt5-11","Seadra","Pokemon","Stage 1","90","Water","1","Common"
"sv6pt5-13","Sneasel","Pokemon","Basic","70","Water","1","Common"
"sv6pt5-14","Weavile","Pokemon","Stage 1","100","Water","1","Uncommon"
"sv6pt5-16","Drowzee","Pokemon","Basic","70","Psychic","2","Common"
"sv6pt5-17","Hypno","Pokemon","Stage 1","110","Psychic","2","Uncommon"
"sv6pt5-18","Duskull","Pokemon","Basic","60","Psychic","1","Common"
"sv6pt5-19","Dusclops","Pokemon","Stage 1","90","Psychic","2","Common"
"sv6pt5-20","Dusknoir","Pokemon","Stage 2","160","Psychic","3","Rare"
"sv6pt5-21","Cresselia","Pokemon","Basic","120","Psychic","1","Rare"
"sv6pt5-22","Sylveon","Pokemon","Stage 1","120","Psychic","1","Uncommon"
"sv6pt5-23","Croagunk","Pokemon","Basic","70","Fighting","1","Common"
"sv6pt5-24","Toxicroak","Pokemon","Stage 1","130","Fighting","1","Common"
"sv6pt5-25","Bloodmoon Ursaluna","Pokemon","Basic","150","Fighting","4","Rare"
"sv6pt5-26","Slither Wing","Pokemon","Basic, Ancient","140","Fighting","3","Uncommon"
"sv6pt5-27","Zubat","Pokemon","Basic","50","Darkness","1","Common"
"sv6pt5-28","Golbat","Pokemon","Stage 1","80","Darkness","1","Common"
"sv6pt5-29","Crobat","Pokemon","Stage 2","130","Darkness","","Uncommon"
"sv6pt5-30","Absol","Pokemon","Basic","110","Darkness","1","Common"
"sv6pt5-31","Zorua","Pokemon","Basic","70","Darkness","1","Common"
"sv6pt5-32","Zoroark","Pokemon","Stage 1","120","Darkness","1","Rare"
"sv6pt5-33","Inkay","Pokemon","Basic","60","Darkness","1","Common"
"sv6pt5-34","Malamar","Pokemon","Stage 1","120","Darkness","3","Uncommon"
"sv6pt5-35","Yveltal","Pokemon","Basic","120","Darkness","1","Uncommon"
"sv6pt5-40","Genesect","Pokemon","Basic","110","Metal","1","Uncommon"
"sv6pt5-41","Cufant","Pokemon","Basic","100","Metal","3","Common"
"sv6pt5-42","Copperajah","Pokemon","Stage 1","200","Metal","4","Rare"
"sv6pt5-43","Varoom","Pokemon","Basic","70","Metal","1","Common"
"sv6pt5-44","Axew","Pokemon","Basic","70","Dragon","2","Common"
"sv6pt5-45","Fraxure","Pokemon","Stage 1","100","Dragon","2","Common"
"sv6pt5-46","Haxorus","Pokemon","Stage 2","170","Dragon","2","Rare"
"sv6pt5-47","Kyurem","Pokemon","Basic","130","Dragon","2","Uncommon"
"sv6pt5-48","Meowth","Pokemon","Basic","70","Colorless","1","Common"
"sv6pt5-49","Persian","Pokemon","Stage 1","110","Colorless","1","Common"
"sv6pt5-50","Eevee","Pokemon","Basic","70","Colorless","1","Common"
"sv6pt5-51","Furfrou","Pokemon","Basic","100","Colorless","1","Common"
"sv6pt5-52","Stufful","Pokemon","Basic","80","Colorless","2","Common"
"sv6pt5-53","Bewear","Pokemon","Stage 1","130","Colorless","3","Common"
"sv6pt5-54","Academy at Night","Trainer","Stadium",,"","","Uncommon"
"sv6pt5-55","Binding Mochi","Trainer","Pokemon Tool",,"","","Uncommon"
"sv6pt5-56","Cassiopeia","Trainer","Supporter",,"","","Uncommon"
"sv6pt5-57","Colress's Tenacity","Trainer","Supporter",,"","","Uncommon"
"sv6pt5-59","Janine's Secret Art","Trainer","Supporter",,"","","Uncommon"
"sv6pt5-61","Night Stretcher","Trainer","Item",,"","","Uncommon"
"sv6pt5-63","Powerglass","Trainer","Pokemon Tool",,"","","Uncommon"
"sv6pt5-64","Xerosic's Machinations","Trainer","Supporter",,"","","Uncommon"
