"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"ex7-1","Azumarill","Pokemon","Stage 1","80","Water","Colorless","Rare Holo"
"ex7-2","Dark Ampharos","Pokemon","Stage 2","120","Lightning, Darkness","Colorless, Colorless","Rare Holo"
"ex7-3","Dark Crobat","Pokemon","Stage 2","90","Grass, Darkness","Colorless","Rare Holo"
"ex7-4","Dark Electrode","Pokemon","Stage 1","70","Lightning, Darkness","Colorless","Rare Holo"
"ex7-5","Dark Houndoom","Pokemon","Stage 1","70","Fire, Darkness","Colorless","Rare Holo"
"ex7-6","Dark Hypno","Pokemon","Stage 1","70","Psychic, Darkness","Colorless","Rare Holo"
"ex7-7","Dark Marowak","Pokemon","Stage 1","70","Fighting, Darkness","Colorless","Rare Holo"
"ex7-8","Dark Octillery","Pokemon","Stage 1","70","Water, Darkness","Colorless","Rare Holo"
"ex7-9","Dark Slowking","Pokemon","Stage 1","80","Psychic, Darkness","Colorless","Rare Holo"
"ex7-10","Dark Steelix","Pokemon","Stage 1","110","Darkness, Metal","Colorless, Colorless, Colorless, Colorless","Rare Holo"
"ex7-11","Jumpluff","Pokemon","Stage 2","90","Grass","","Rare Holo"
"ex7-12","Kingdra","Pokemon","Stage 2","120","Water","Colorless, Colorless","Rare Holo"
"ex7-13","Piloswine","Pokemon","Stage 1","100","Fighting","Colorless, Colorless","Rare Holo"
"ex7-14","Togetic","Pokemon","Stage 1","70","Colorless","Colorless","Rare Holo"
"ex7-15","Dark Dragonite","Pokemon","Stage 2","120","Darkness","Colorless, Colorless","Rare"
"ex7-16","Dark Muk","Pokemon","Stage 1","80","Grass, Darkness","Colorless","Rare"
"ex7-17","Dark Raticate","Pokemon","Stage 1","70","Darkness","","Rare"
"ex7-18","Dark Sandslash","Pokemon","Stage 1","70","Fighting, Darkness","","Rare"
"ex7-19","Dark Tyranitar","Pokemon","Stage 2","120","Darkness","Colorless, Colorless","Rare"
"ex7-20","Dark Tyranitar","Pokemon","Stage 2","120","Fighting, Darkness","Colorless, Colorless, Colorless","Rare"
"ex7-21","Delibird","Pokemon","Basic","70","Water","Colorless","Rare"
"ex7-22","Furret","Pokemon","Stage 1","80","Colorless","Colorless","Rare"
"ex7-23","Ledian","Pokemon","Stage 1","70","Grass","Colorless","Rare"
"ex7-24","Magby","Pokemon","Basic","50","Fire","Colorless","Rare"
"ex7-25","Misdreavus","Pokemon","Basic","60","Psychic","Colorless","Rare"
"ex7-26","Quagsire","Pokemon","Stage 1","80","Water","Colorless, Colorless","Rare"
"ex7-27","Qwilfish","Pokemon","Basic","60","Water","Colorless","Rare"
"ex7-28","Yanma","Pokemon","Basic","70","Grass","Colorless","Rare"
"ex7-29","Dark Arbok","Pokemon","Stage 1","90","Grass, Darkness","Colorless","Uncommon"
"ex7-30","Dark Ariados","Pokemon","Stage 1","70","Grass, Darkness","Colorless","Uncommon"
"ex7-31","Dark Dragonair","Pokemon","Stage 1","70","Darkness","Colorless","Uncommon"
