"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity"
"sm115-1","Caterpie","Pokemon","Basic","60","Grass","Colorless","Common"
"sm115-2","Metapod","Pokemon","Stage 1","90","Grass","Colorless, Colorless","Uncommon"
"sm115-3","Butterfree","Pokemon","Stage 2","130","Grass","Colorless","Rare"
"sm115-4","Paras","Pokemon","Basic","70","Grass","Colorless","Common"
"sm115-5","Scyther","Pokemon","Basic","100","Grass","Colorless","Uncommon"
"sm115-7","Charmander","Pokemon","Basic","70","Fire","Colorless","Common"
"sm115-8","Charmeleon","Pokemon","Stage 1","100","Fire","Colorless","Uncommon"
"sm115-10","Magmar","Pokemon","Basic","90","Fire","Colorless, Colorless","Uncommon"
"sm115-11","Psyduck","Pokemon","Basic","60","Water","Colorless","Common"
"sm115-12","Slowpoke","Pokemon","Basic","70","Water","Colorless, Colorless","Common"
"sm115-13","Staryu","Pokemon","Basic","50","Water","Colorless","Common"
"sm115-15","Magikarp","Pokemon","Basic","30","Water","Colorless","Common"
"sm115-17","Lapras","Pokemon","Basic","120","Water","Colorless, Colorless","Rare"
"sm115-18","Vaporeon","Pokemon","Stage 1","120","Water","Colorless, Colorless, Colorless","Rare Holo"
"sm115-19","Pikachu","Pokemon","Basic","70","Lightning","Colorless","Common"
"sm115-21","Voltorb","Pokemon","Basic","50","Lightning","Colorless","Common"
"sm115-22","Electrode","Pokemon","Stage 1","100","Lightning","Colorless","Rare"
"sm115-23","Jolteon","Pokemon","Stage 1","90","Lightning","","Rare"
"sm115-24","Zapdos","Pokemon","Basic","120","Lightning","Colorless, Colorless","Rare Holo"
"sm115-25","Ekans","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm115-26","Ekans","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm115-27","Arbok","Pokemon","Stage 1","120","Psychic","Colorless, Colorless","Rare"
"sm115-28","Koffing","Pokemon","Basic","60","Psychic","Colorless","Common"
"sm115-29","Weezing","Pokemon","Stage 1","120","Psychic","Colorless, Colorless, Colorless","Rare"
"sm115-30","Jynx","Pokemon","Basic","100","Psychic","Colorless","Uncommon"
"sm115-32","Mew","Pokemon","Basic","80","Psychic","Colorless","Rare"
"sm115-33","Geodude","Pokemon","Basic","70","Fighting","Colorless, Colorless","Common"
"sm115-34","Graveler","Pokemon","Stage 1","100","Fighting","Colorless, Colorless, Colorless","Uncommon"
"sm115-35","Golem","Pokemon","Stage 2","170","Fighting","Colorless, Colorless, Colorless, Colorless","Rare"
"sm115-37","Cubone","Pokemon","Basic","60","Fighting","Colorless, Colorless","Common"
"sm115-38","Clefairy","Pokemon","Basic","60","Fairy","Colorless","Common"
"sm115-39","Clefairy","Pokemon","Basic","60","Fairy","Colorless","Common"
"sm115-40","Clefable","Pokemon","Stage 1","120","Fairy","Colorless, Colorless","Rare"
"sm115-41","Jigglypuff","Pokemon","Basic","70","Fairy","Colorless","Common"
"sm115-43","Mr. Mime","Pokemon","Basic","90","Fairy","Colorless","Rare"
"sm115-45","Farfetch'd","Pokemon","Basic","80","Colorless","Colorless","Uncommon"
"sm115-46","Chansey","Pokemon","Basic","130","Colorless","Colorless, Colorless","Uncommon"
"sm115-47","Kangaskhan","Pokemon","Basic","120","Colorless","Colorless, Colorless","Rare"
"sm115-48","Eevee","Pokemon","Basic","60","Colorless","Colorless","Rare Holo"
"sm115-49","Eevee","Pokemon","Basic","60","Colorless","Colorless","Common"
"sm115-50","Snorlax","Pokemon","Basic","150","Colorless","Colorless, Colorless, Colorless","Rare"
"sm115-51","Bill's Analysis","Trainer","Supporter",,"","","Rare"
"sm115-52","Blaine's Last Stand","Trainer","Supporter",,"","","Rare"
"sm115-53","Brock's Grit","Trainer","Supporter",,"","","Uncommon"
"sm115-54","Brock's Pewter City Gym","Trainer","Stadium",,"","","Uncommon"
"sm115-55","Brock's Training","Trainer","Supporter",,"","","Rare Holo"
"sm115-56","Erika's Hospitality","Trainer","Supporter",,"","","Rare"
"sm115-57","Giovanni's Exile","Trainer","Supporter",,"","","Uncommon"
"sm115-58","Jessie & James","Trainer","Supporter",,"","","Rare Holo"
"sm115-59","Koga's Trap","Trainer","Supporter",,"","","Uncommon"
"sm115-60","Lt. Surge's Strategy","Trainer","Supporter",,"","","Uncommon"
"sm115-61","Misty's Cerulean City Gym","Trainer","Stadium",,"","","Uncommon"
"sm115-62","Misty's Determination","Trainer","Supporter",,"","","Uncommon"
"sm115-63","Misty's Water Command","Trainer","Supporter",,"","","Rare Holo"
"sm115-64","Pokemon Center Lady","Trainer","Supporter",,"","","Uncommon"
"sm115-65","Sabrina's Suggestion","Trainer","Supporter",,"","","Uncommon"
