"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ecard2-1","Ampharos","Pokémon","100","Lightning","","Flaaffy","1","Shin-ichi Yoshida","Rare",,"181",,"https://images.pokemontcg.io/ecard2/1.png","https://images.pokemontcg.io/ecard2/1_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Thundershock","Lightning","1","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Reflect Energy","Lightning, Lightning, Colorless","3","50","If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.","Fighting","×2"
"ecard2-2","Arcanine","Pokémon","90","Fire","","Growlithe","2","Kyoko Umemoto","Rare",,"59",,"https://images.pokemontcg.io/ecard2/2.png","https://images.pokemontcg.io/ecard2/2_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Extreme Speed","You pay Colorless less to retreat Arcanine for each Energy attached to it.","Poké-Body","","","","Fire Blow","Colorless, Colorless, Colorless","3","30+","You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.","","","","","","Water","×2"
"ecard2-3","Ariados","Pokémon","70","Grass","","Spinarak","3","Shin-ichi Yoshida","Rare",,"168",,"https://images.pokemontcg.io/ecard2/3.png","https://images.pokemontcg.io/ecard2/3_hires.png","Legal",,,"",,"Gluey Slime","As long as Ariados is in play, each player must pay an additional Colorless to retreat his or her Active Pokémon. Gluey Slime can't make a player pay more than an additional Colorless to retreat a Pokémon, even if there is more than 1 Ariados in play.","Poké-Body","","","","Spider Force","Grass, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokémon is now Paralyzed.","","","","","","Fire","×2"
"ecard2-4","Azumarill","Pokémon","70","Water","","Marill","4","Kagemaru Himeno","Rare",,"184",,"https://images.pokemontcg.io/ecard2/4.png","https://images.pokemontcg.io/ecard2/4_hires.png","Legal",,,"Colorless","1","Bubble Turn","Once during your turn (before your attack), if Azumarill is on your Bench, you may flip a coin. If heads, return Azumarill and all cards attached to it to your hand.","Poké-Power","","","","Aqua Sonic","Water, Colorless, Colorless","3","40","Don't apply Resistance.","","","","","","Lightning","×2"
"ecard2-5","Bellossom","Pokémon","90","Grass","","Gloom","5","Sumiyoshi Kizuki","Rare",,"182",,"https://images.pokemontcg.io/ecard2/5.png","https://images.pokemontcg.io/ecard2/5_hires.png","Legal",,,"Colorless, Colorless","2","Flower Supplement","Once during your turn (before your attack), you may flip a coin. If heads, attach 1 basic Energy card from your hand to 1 of your Benched Pokémon. This power can't be used if Bellossom is affected by a Special Condition.","Poké-Power","","","","Knife Leaf","Grass, Grass, Colorless","3","30×","Flip 3 coins. This attack does 30 damage times the number of heads.","","","","","","Fire","×2"
"ecard2-6","Blissey","Pokémon","120","Colorless","","Chansey","6","Naoyo Kimura","Rare",,"242",,"https://images.pokemontcg.io/ecard2/6.png","https://images.pokemontcg.io/ecard2/6_hires.png","Legal",,,"Colorless, Colorless","2","Happy Healing","Once during your turn (before your attack), choose 1 of your Benched Pokémon and flip a coin. If heads, count the number of Energy attached to Blissey and then remove that many damage counters from the chosen Benched Pokémon. This power can't be used if Blissey is affected by a Special Condition.","Poké-Power","","","","Smash Bomber","Colorless, Colorless, Colorless","3","50","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","×2"
"ecard2-7","Donphan","Pokémon","80","Fighting","","Phanpy","7","Mitsuhiro Arita","Rare",,"232",,"https://images.pokemontcg.io/ecard2/7.png","https://images.pokemontcg.io/ecard2/7_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Earthquake","Fighting","1","30","Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Double Stab","Colorless, Colorless, Colorless","3","40×","Flip 2 coins. This attack does 40 damage times the number of heads.","Grass","×2"
"ecard2-8","Electrode","Pokémon","70","Lightning","","Voltorb","8","Shin-ichi Yoshida","Rare",,"101",,"https://images.pokemontcg.io/ecard2/8.png","https://images.pokemontcg.io/ecard2/8_hires.png","Legal",,,"Colorless","1","Super Dynamo","Once during your turn (before your attack), if Electrode is your Active Pokémon, you may flip a coin. If heads, choose a Lightning Energy card from your discard pile and attach it to 1 of your Pokémon. This power can't be used if Electrode is affected by a Special Condition.","Poké-Power","","","","Swift","Lightning, Colorless","2","30","This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.","","","","","","Fighting","×2"
"ecard2-9","Elekid","Pokémon","30","Lightning","Electabuzz",,"9","Hikaru Koike","Rare",,"239",,"https://images.pokemontcg.io/ecard2/9.png","https://images.pokemontcg.io/ecard2/9_hires.png","Legal",,,"Colorless","1","","","","","","","Energy Kick","Lightning","1","","Flip a coin. If heads, choose an Energy card attached to the Defending Pokémon. Your opponent moves that card to 1 of his or her other Pokémon. (If your opponent has no Benched Pokémon, this attack does nothing.)","","","","","",,
"ecard2-10","Entei","Pokémon","70","Fire","",,"10","Atsuko Nishida","Rare",,"244",,"https://images.pokemontcg.io/ecard2/10.png","https://images.pokemontcg.io/ecard2/10_hires.png","Legal",,,"Colorless","1","Pure Body","To attach a Fire Energy card from your hand to Entei, you must discard an Energy card attached to Entei. (Attach the Fire Energy, and then discard an Energy from Entei.)","Poké-Body","","","","Burning Fang","Fire, Colorless, Colorless","3","40","You may flip a coin. If heads, discard a Fire Energy card attached to Entei and the Defending Pokémon is now Burned.","","","","","","Water","×2"
