"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd19-1","Caterpie","Pokémon","50","Grass","Metapod",,"1","Sekio",,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","10",,"https://images.pokemontcg.io/mcd19/1.png","https://images.pokemontcg.io/mcd19/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Surprise Attack","Grass","1","20","Flip a coin. If tails, this attack does nothing.","","","","","","Fire","×2"
"mcd19-2","Alolan Exeggutor","Pokémon","160","Grass","","Exeggcute","2","Satoshi Shirai",,"As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.","103",,"https://images.pokemontcg.io/mcd19/2.png","https://images.pokemontcg.io/mcd19/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Tropical Shake","Grass","1","20+","This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way.","","","","","","Fire","×2"
"mcd19-3","Magmar","Pokémon","80","Fire","Magmortar",,"3","Yumi",,"When angered, it spouts brilliant fire from all over its body. It doesn't calm down until its opponent has burned to ash.","126",,"https://images.pokemontcg.io/mcd19/3.png","https://images.pokemontcg.io/mcd19/3_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Controlled Burn","Fire","1","","Discard the top card of your opponent's deck.","Flamethrower","Fire, Fire, Colorless","3","80","Discard an Energy from this Pokémon.","Water","×2"
"mcd19-4","Alolan Sandshrew","Pokémon","60","Water","Sandslash",,"4","Shin Nagasawa",,"An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can.","27",,"https://images.pokemontcg.io/mcd19/4.png","https://images.pokemontcg.io/mcd19/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","","0","10","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Metal","×2"
"mcd19-5","Lapras","Pokémon","120","Water","",,"5","Saya Tsuruta",,"These Pokémon were once near extinction due to poaching. Following protective regulations, there is now an overabundance of them.","131",,"https://images.pokemontcg.io/mcd19/5.png","https://images.pokemontcg.io/mcd19/5_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Aqua Bullet","Water","1","20","This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Hydro Pump","Colorless, Colorless, Colorless","3","70+","This attack does 10 more damage times the amount of Water Energy attached to this Pokémon.","Grass","×2"
"mcd19-6","Pikachu","Pokémon","60","Lightning","Raichu",,"6","Kagemaru Himeno",,"A plan was recently announced to gather many Pikachu and make an electric power plant.","25",,"https://images.pokemontcg.io/mcd19/6.png","https://images.pokemontcg.io/mcd19/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Iron Tail","Lightning","1","20","Flip a coin until you get tails. This attack does 20 damage for each heads.","","","","","","Fighting","×2"
"mcd19-7","Gastly","Pokémon","50","Psychic","Haunter",,"7","Shibuzoh.",,"Should a strange light be seen flickering in an abandoned building, Gastly is lurking there.","92",,"https://images.pokemontcg.io/mcd19/7.png","https://images.pokemontcg.io/mcd19/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Ominous Eyes","Psychic","1","","Put 1 damage counter on 1 of your opponent's Pokémon.","","","","","","Darkness","×2"
"mcd19-8","Mankey","Pokémon","60","Fighting","Primeape",,"8","Miki Tanaka",,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","56",,"https://images.pokemontcg.io/mcd19/8.png","https://images.pokemontcg.io/mcd19/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Three-Step Strike","Fighting","1","10","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Psychic","×2"
"mcd19-9","Onix","Pokémon","100","Fighting","Steelix",,"9","Mitsuhiro Arita",,"It usually lives underground. It searches for food while boring its way through the ground at 50 miles per hour.","95",,"https://images.pokemontcg.io/mcd19/9.png","https://images.pokemontcg.io/mcd19/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Screech","Colorless","1","","During your next turn, the Defending Pokémon takes 20 more damage from attacks (after applying Weakness and Resistance).","Rage","Fighting, Fighting","2","10+","This attack does 10 more damage for each damage counter on this Pokémon.","Grass","×2"
"mcd19-10","Alolan Meowth","Pokémon","60","Darkness","Persian",,"10","Akira Komayama",,"When its delicate pride is wounded, or when the gold coin on its forehead is dirtied, it flies into a hysterical rage.","52",,"https://images.pokemontcg.io/mcd19/10.png","https://images.pokemontcg.io/mcd19/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Spoil the Fun","","0","10+","If you go second, this attack does 60 more damage during your first turn.","","","","","","Fighting","×2"
"mcd19-11","Alolan Dugtrio","Pokémon","60","Metal","","Alolan Diglett","11","Megumi Mizutani",,"This Pokémon are cherished in the Alola region, where they are thought to be feminine deities of the land incarnate.","51",,"https://images.pokemontcg.io/mcd19/11.png","https://images.pokemontcg.io/mcd19/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gold Rush","","0","30","Discard any number of Metal Energy cards from your hand. This attack does 30 damage for each card you discarded in this way.","","","","","","Fire","×2"
"mcd19-12","Eevee","Pokémon","60","Colorless","Vaporeon, Jolteon, Flareon, Sylveon, Espeon, Umbreon, Leafeon, Glaceon",,"12","Atsuko Nishida",,"Current studies show it can evolve into an incredible eight different species of Pokémon.","133",,"https://images.pokemontcg.io/mcd19/12.png","https://images.pokemontcg.io/mcd19/12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gnaw","Colorless","1","20","","","","","","","Fighting","×2"
