"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"np-1","Kyogre ex","Pokémon","120","Water","",,"1","Hiromichi Sugiyama","Promo",,"382",,"https://images.pokemontcg.io/np/1.png","https://images.pokemontcg.io/np/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Major Flood","Water, Water, Water, Water","4","60","Discard a Water Energy card attached to Kyogre ex. Does 10 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Lightning","×2"
"np-2","Groudon ex","Pokémon","120","Fighting","",,"2","Kazuo Yazawa","Promo",,"383",,"https://images.pokemontcg.io/np/2.png","https://images.pokemontcg.io/np/2_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Major Earthquake","Fighting, Fighting, Fighting, Fighting","4","80","Discard a Fighting Energy card attached to Groudon ex. Does 10 damage to your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Grass","×2"
"np-3","Treecko","Pokémon","40","Grass","Grovyle",,"3","Atsuko Nishida","Promo",,"252",,"https://images.pokemontcg.io/np/3.png","https://images.pokemontcg.io/np/3_hires.png","Legal",,,"Colorless","1","","","","","","","Tail Slap","Colorless","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","×2"
"np-4","Grovyle","Pokémon","70","Grass","Sceptile","Treecko","4","Midori Harada","Promo",,"253",,"https://images.pokemontcg.io/np/4.png","https://images.pokemontcg.io/np/4_hires.png","Legal",,,"Colorless","1","","","","","","","Poison Breath","Colorless, Colorless","2","","The Defending Pokémon is now Poisoned.","Swift","Grass, Colorless, Colorless","3","30","This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.","Fire","×2"
"np-5","Mudkip","Pokémon","50","Water","Marshtomp",,"5","Ken Sugimori","Promo",,"258",,"https://images.pokemontcg.io/np/5.png","https://images.pokemontcg.io/np/5_hires.png","Legal",,,"Colorless","1","","","","","","","Pound","Colorless","1","10","","Fury Swipes","Colorless, Colorless","2","10×","Flip 3 coins. This attack does 10 damage times the number of heads.","Lightning","×2"
"np-6","Torchic","Pokémon","40","Fire","Combusken",,"6","Ken Sugimori","Promo",,"255",,"https://images.pokemontcg.io/np/6.png","https://images.pokemontcg.io/np/6_hires.png","Legal",,,"Colorless","1","","","","","","","Peck","Colorless","1","10","","Fireworks","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy card attached to Torchic.","Water","×2"
"np-7","Treecko","Pokémon","40","Grass","Grovyle",,"7","Ken Sugimori","Promo",,"252",,"https://images.pokemontcg.io/np/7.png","https://images.pokemontcg.io/np/7_hires.png","Legal",,,"Colorless","1","","","","","","","Tail Slap","Colorless","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","×2"
"np-8","Torchic","Pokémon","40","Fire","Combusken",,"8","Atsuko Nishida","Promo",,"255",,"https://images.pokemontcg.io/np/8.png","https://images.pokemontcg.io/np/8_hires.png","Legal",,,"Colorless","1","","","","","","","Peck","Colorless","1","10","","Fireworks","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy card attached to Torchic.","Water","×2"
"np-9","Combusken","Pokémon","70","Fire","Blaziken","Torchic","9","Kouki Saitou","Promo",,"256",,"https://images.pokemontcg.io/np/9.png","https://images.pokemontcg.io/np/9_hires.png","Legal",,,"Colorless","1","","","","","","","Flare","Fire","1","20","","Double Kick","Colorless, Colorless, Colorless","3","40×","Flip 2 coins. This attack does 40 damage times the number of heads.","Water","×2"
"np-10","Mudkip","Pokémon","50","Water","Marshtomp",,"10","Atsuko Nishida","Promo",,"258",,"https://images.pokemontcg.io/np/10.png","https://images.pokemontcg.io/np/10_hires.png","Legal",,,"Colorless","1","","","","","","","Pound","Colorless","1","10","","Fury Swipes","Colorless, Colorless","2","10×","Flip 3 coins. This attack does 10 damage times the number of heads.","Lightning","×2"
"np-11","Marshtomp","Pokémon","70","Water","Swampert","Mudkip","11","Mitsuhiro Arita","Promo",,"259",,"https://images.pokemontcg.io/np/11.png","https://images.pokemontcg.io/np/11_hires.png","Legal",,,"Colorless","1","","","","","","","Bubble","Water","1","10","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Slash","Colorless, Colorless, Colorless","3","40","","Lightning","×2"
"np-12","Pikachu","Pokémon","50","Lightning","Raichu",,"12","Kouki Saitou","Promo",,"25",,"https://images.pokemontcg.io/np/12.png","https://images.pokemontcg.io/np/12_hires.png","Legal",,,"Colorless","1","","","","","","","Agility","Colorless","1","","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.","Thundershock","Lightning, Colorless","2","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Fighting","×2"
"np-13","Meowth","Pokémon","50","Colorless","Persian",,"13","Kouki Saitou","Promo",,"52",,"https://images.pokemontcg.io/np/13.png","https://images.pokemontcg.io/np/13_hires.png","Legal",,,"Colorless","1","","","","","","","Plunder","Colorless","1","10","Before doing damage, discard all Trainer cards attached to the Defending Pokémon (before they affect the damage.).","Scratch","Colorless, Colorless","2","20","","Fighting","×2"
"np-14","Latias","Pokémon","70","Colorless","",,"14","Ken Sugimori","Promo",,"380",,"https://images.pokemontcg.io/np/14.png","https://images.pokemontcg.io/np/14_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Super Psy","Psychic","1","10","","Searing Flame","Fire, Water","2","20","Flip a coin. If heads, the Defending Pokémon is now Burned.","Psychic","×2"
"np-15","Latios","Pokémon","80","Colorless","",,"15","Ken Sugimori","Promo",,"381",,"https://images.pokemontcg.io/np/15.png","https://images.pokemontcg.io/np/15_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Super Psy","Psychic","1","10","","Freeze Dry","Water, Psychic, Lightning","3","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Psychic","×2"
"np-16","Treecko","Pokémon","40","Grass","Grovyle",,"16","Kagemaru Himeno","Promo",,"252",,"https://images.pokemontcg.io/np/16.png","https://images.pokemontcg.io/np/16_hires.png","Legal",,,"Colorless","1","","","","","","","Pound","Colorless","1","10","","Sporadic Sponging","Grass","1","10","Flip a coin. If heads, remove 1 damage counter from Treecko.","Fire","×2"
"np-17","Torchic","Pokémon","50","Fire","Combusken",,"17","Kagemaru Himeno","Promo",,"255",,"https://images.pokemontcg.io/np/17.png","https://images.pokemontcg.io/np/17_hires.png","Legal",,,"Colorless","1","","","","","","","Ember","Fire, Colorless","2","30","Discard a Fire Energy card attached to Torchic.","","","","","","Water","×2"
"np-18","Mudkip","Pokémon","50","Water","Marshtomp",,"18","Kagemaru Himeno","Promo",,"258",,"https://images.pokemontcg.io/np/18.png","https://images.pokemontcg.io/np/18_hires.png","Legal",,,"Colorless","1","","","","","","","Surf","Water","1","10","","Whirlpool","Water, Colorless","2","10","Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.","Lightning","×2"
"np-19","Whismur","Pokémon","50","Colorless","Loudred",,"19","Kagemaru Himeno","Promo",,"293",,"https://images.pokemontcg.io/np/19.png","https://images.pokemontcg.io/np/19_hires.png","Legal",,,"Colorless","1","","","","","","","Supersonic","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Confused.","Pound","Colorless","1","10","","Fighting","×2"
"np-20","Ludicolo","Pokémon","90","Water","","Lombre","20","Kouki Saitou","Promo",,"272",,"https://images.pokemontcg.io/np/20.png","https://images.pokemontcg.io/np/20_hires.png","Legal",,,"Colorless, Colorless","2","Rain Dish","At any time between turns, remove 1 damage counter from Ludicolo.","Poké-Body","","","","Fury Swipes","Water, Colorless, Colorless","3","30×","Flip 3 coins. This attack does 30 damage times the number of heads.","","","","","","Lightning","×2"
"np-21","Jirachi","Pokémon","50","Psychic","",,"21","Atsuko Nishida","Promo",,"385",,"https://images.pokemontcg.io/np/21.png","https://images.pokemontcg.io/np/21_hires.png","Legal",,,"Colorless","1","","","","","","","The Third Eye","Colorless","1","","Discard an Energy card attached to Jirachi and draw 3 cards.","Psywave","Psychic","1","10×","Does 10 damage times the amount of Energy attached to the Defending Pokémon.","Psychic","×2"
"np-22","Beldum","Pokémon","50","Metal","Metang",,"22","Mitsuhiro Arita","Promo",,"374",,"https://images.pokemontcg.io/np/22.png","https://images.pokemontcg.io/np/22_hires.png","Legal",,,"Colorless, Colorless","2","Magnetic Call","Once during your turn (before your attack), you may flip a coin. If heads, search your deck for a Metal Basic Pokémon and put it onto your Bench. Shuffle your deck afterward. This power can't be used if Beldum is affected by a Special Condition.","Poké-Power","","","","Metal Charge","Metal, Colorless","2","30","Put 1 damage counter on Beldum.","","","","","","Fire","×2"
"np-23","Metang","Pokémon","80","Metal","Metagross","Beldum","23","Mitsuhiro Arita","Promo",,"375",,"https://images.pokemontcg.io/np/23.png","https://images.pokemontcg.io/np/23_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Metal Load","Colorless","1","","Search your discard pile for a Metal Energy card and attach it to Metang.","Metal Claw","Metal, Colorless","2","30","","Fire","×2"
"np-24","Chimecho","Pokémon","70","Psychic","",,"24","Atsuko Nishida","Promo",,"358",,"https://images.pokemontcg.io/np/24.png","https://images.pokemontcg.io/np/24_hires.png","Legal",,,"Colorless","1","","","","","","","Resonate","Colorless","1","","Your opponent switches each Defending Pokémon with his or her Benched Pokémon. If your opponent has only 1 Benched Pokémon, you choose the Defending Pokémon to switch.","Healing Sound","Colorless, Colorless","2","","Remove 3 damage counters from each of your Active Pokémon. Each Defending Pokémon is now Asleep.","Psychic","×2"
"np-25","Flygon","Pokémon","120","Colorless","","Vibrava","25","Kouki Saitou","Promo",,"330",,"https://images.pokemontcg.io/np/25.png","https://images.pokemontcg.io/np/25_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sand Pit","Colorless, Colorless","2","20","The Defending Pokémon can't retreat until the end of your opponent's next turn.","Dragonbreath","Grass, Lightning, Colorless, Colorless","4","80","Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing.","Colorless","×2"
"np-26","Tropical Wind","Trainer",,"","",,"26","Sumiyoshi Kizuki","Promo",,"",,"https://images.pokemontcg.io/np/26.png","https://images.pokemontcg.io/np/26_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
