"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"si1-1","Mew","Pokemon","30","Psychic","",,"1","Keiko Fukuyama",,"This Pokemon's body is covered by fine hairs that can be seen only under a microscope.","151",,"https://images.pokemontcg.io/si1/1.png","https://images.pokemontcg.io/si1/1_hires.png","Legal",,,"",,"","","","","","","Rainbow Wave","Psychic","1","","Choose a type of Energy other than Colorless attached to Mew. This attack does 20 damage to each of your opponent's Pokemon of that type (including Benched Pokemon). Don't apply Weakness and Resistance.","","","","","","Psychic","x2"
"si1-2","Pidgeot","Pokemon","70","Colorless","","Pidgeotto","2","Keiko Fukuyama",,"This Pokemon searches for food while flying at Mach 2. Its large claws make fearsome weapons.","18",,"https://images.pokemontcg.io/si1/2.png","https://images.pokemontcg.io/si1/2_hires.png","Legal",,,"",,"","","","","","","Supersonic Flight","Colorless, Colorless","2","40","Flip a coin. If tails, this attack does nothing.","Slicing Wind","Colorless, Colorless, Colorless, Colorless","4","50","","Lightning","x2"
"si1-3","Onix","Pokemon","90","Fighting","Steelix",,"3","Keiko Fukuyama",,"This Pokemon burrows through the earth at high speed, looking for food. The tunnels it digs are used by Diglett as nests.","95",,"https://images.pokemontcg.io/si1/3.png","https://images.pokemontcg.io/si1/3_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Slam","Colorless, Colorless","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads.","Body Slam","Fighting, Fighting, Fighting, Fighting","4","40","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Grass","x2"
"si1-4","Togepi","Pokemon","40","Colorless","Togetic",,"4","Keiko Fukuyama",,"This Pokemon is still immature. When threatened, it releases poison from its head and tries to drive its enemies away.","175",,"https://images.pokemontcg.io/si1/4.png","https://images.pokemontcg.io/si1/4_hires.png","Legal",,,"Colorless","1","","","","","","","Bawl","Colorless","1","10","Flip a coin. If heads, the Defending Pokemon is now Confused.","","","","","",,
"si1-5","Ivysaur","Pokemon","60","Grass","Venusaur","Bulbasaur","5","Keiko Fukuyama",,"A sure sign spring is on its way is when the seed on this Pokemon's back flowers.","2",,"https://images.pokemontcg.io/si1/5.png","https://images.pokemontcg.io/si1/5_hires.png","Legal",,,"Colorless","1","","","","","","","Strange Scent","Grass","1","","Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pokemon and removes them. (If the player's Pokemon have fewer total damage counters than that, he or she removes all of them.)","Razor Leaf","Grass, Grass","2","30","","Fire","x2"
"si1-6","Raticate","Pokemon","60","Colorless","","Rattata","6","Keiko Fukuyama",,"This Pokemon sometimes hunts for food in rivers, swimming using the small webs between the toes on its rear legs.","20",,"https://images.pokemontcg.io/si1/6.png","https://images.pokemontcg.io/si1/6_hires.png","Legal",,,"",,"","","","","","","Sharp Teeth","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 30 more damage; if tails, this attack does 10 damage.","","","","","","Fighting","x2"
"si1-7","Ledyba","Pokemon","40","Grass","Ledian",,"7","Keiko Fukuyama",,"When it senses enemies approaching, this Pokemon releases an orange fluid from the joints in its legs and flees.","165",,"https://images.pokemontcg.io/si1/7.png","https://images.pokemontcg.io/si1/7_hires.png","Legal",,,"Colorless","1","","","","","","","Gnaw","Colorless","1","10","","Agility","Grass, Grass","2","20","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.","Fire","x2"
"si1-8","Jigglypuff","Pokemon","50","Colorless","Wigglytuff",,"8","Keiko Fukuyama",,"After lulling its enemies with its large eyes, this Pokemon sings them to sleep with a relaxing melody.","39",,"https://images.pokemontcg.io/si1/8.png","https://images.pokemontcg.io/si1/8_hires.png","Legal",,,"Colorless","1","","","","","","","Tempting Eyes","Colorless","1","","Choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon.","Sing","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Asleep.","Fighting","x2"
"si1-9","Butterfree","Pokemon","80","Grass","","Metapod","9","Keiko Fukuyama",,"The poison scales on its wings are waterproof, allowing this Pokemon to be active even on rainy days.","12",,"https://images.pokemontcg.io/si1/9.png","https://images.pokemontcg.io/si1/9_hires.png","Legal",,,"Colorless","1","","","","","","","Fly","Colorless, Colorless, Colorless","3","30","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Butterfree. If tails, this attack does nothing (not even damage).","Rainbow Powder","Grass, Grass, Colorless","3","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed. If tails, the Defending Pokemon is now Poisoned.","Fire","x2"
"si1-10","Tentacruel","Pokemon","60","Water","","Tentacool","10","Naoyo Kimura",,"This Pokemon attacks its prey with its eighty toxin-producing tentacles.","73",,"https://images.pokemontcg.io/si1/10.png","https://images.pokemontcg.io/si1/10_hires.png","Legal",,,"Colorless","1","","","","","","","Tentacle Grip","Water","1","","Flip a number of coins equal to the number of Water Energy attached to Tentacruel. For each heads, draw 2 cards.","Poison Sting","Water, Water","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Lightning","x2"
